audio_name,applied_effects,GA_effects,similarity_indv,best_fit
32.mp3,"{5: {'wet_level': 0.21}, 2: {'drive_db': 19.19}, 1: {'delay_seconds': 1.34}, 4: {'depth': 0.27}}","{4: {'depth': 0.59}, 1: {'delay_seconds': 2.13}}",0.20361400894187784,
33.mp3,"{4: {'depth': 0.34}, 3: {'gain_db': -4.02}, 5: {'wet_level': 0.45}, 2: {'drive_db': 5.08}, 0: {'rate_hz': 6.06}, 1: {'delay_seconds': 1.06}}","{4: {'depth': 0.29}, 0: {'rate_hz': 14.43}, 3: {'gain_db': -4.59}, 2: {'drive_db': 8.75}, 5: {'wet_level': 0.52}, 1: {'delay_seconds': 1.18}}",0.7994649291604685,
34.mp3,"{0: {'rate_hz': 15.72}, 4: {'depth': 0.47}, 1: {'delay_seconds': 3.52}, 2: {'drive_db': 12.49}, 3: {'gain_db': 0.82}}","{0: {'rate_hz': 17.73}, 4: {'depth': 0.2}}",0.25953386389475397,
35.mp3,"{5: {'wet_level': 0.3}, 4: {'depth': 0.56}}","{3: {'gain_db': 6.41}, 2: {'drive_db': 7.36}, 4: {'depth': 0.51}}",0.3035714285714285,
36.mp3,{4: {'depth': 0.45}},"{4: {'depth': 0.32}, 3: {'gain_db': -2.63}, 2: {'drive_db': 6.48}, 0: {'rate_hz': 5.83}}",0.17777777777777776,
37.mp3,{4: {'depth': 0.6}},"{2: {'drive_db': 17.0}, 4: {'depth': 0.51}}",0.42500000000000004,
38.mp3,"{4: {'depth': 0.3}, 1: {'delay_seconds': 2.41}, 5: {'wet_level': 0.52}}","{2: {'drive_db': 13.4}, 1: {'delay_seconds': 3.07}}",0.2483912483912484,
39.mp3,"{4: {'depth': 0.56}, 1: {'delay_seconds': 3.09}, 3: {'gain_db': 5.86}, 2: {'drive_db': 13.8}, 5: {'wet_level': 0.41}}","{1: {'delay_seconds': 2.68}, 4: {'depth': 0.54}, 3: {'gain_db': -3.58}}",0.4327980024077304,
40.mp3,"{1: {'delay_seconds': 1.32}, 5: {'wet_level': 0.32}, 3: {'gain_db': 6.02}, 0: {'rate_hz': 14.36}, 4: {'depth': 0.38}}","{1: {'delay_seconds': 2.18}, 5: {'wet_level': 0.6}, 0: {'rate_hz': 9.01}, 2: {'drive_db': 8.7}, 3: {'gain_db': 5.71}, 4: {'depth': 0.57}}",0.4994278564468847,
41.mp3,"{3: {'gain_db': -0.16}, 4: {'depth': 0.43}, 1: {'delay_seconds': 1.55}, 5: {'wet_level': 0.41}}",{4: {'depth': 0.55}},0.18023255813953487,
