audio_name,applied_effects,GA_effects,similarity_indv,best_fit,similarity_indv_effects_only
132.mp3,"{2: {'drive_db': 16.94}, 4: {'depth': 0.35}}","{4: {'depth': 0.44}, 3: {'gain_db': 3.31}}",0.31999999999999995,0.0152182449709785,0.5
133.mp3,{5: {'wet_level': 0.49}},{5: {'wet_level': 0.48}},0.9655172413793103,0.1494416945308872,1.0
134.mp3,"{1: {'delay_seconds': 3.06}, 3: {'gain_db': 4.15}, 4: {'depth': 0.57}}","{3: {'gain_db': -7.24}, 1: {'delay_seconds': 3.05}, 4: {'depth': 0.53}}",0.6940301754978073,1.9272588281116991,1.0
135.mp3,"{5: {'wet_level': 0.22}, 3: {'gain_db': -6.31}, 0: {'rate_hz': 15.1}}","{5: {'wet_level': 0.22}, 0: {'rate_hz': 15.42}, 3: {'gain_db': 5.06}}",0.7600622107425139,1.018880249788247,1.0
136.mp3,"{4: {'depth': 0.48}, 0: {'rate_hz': 7.26}, 1: {'delay_seconds': 2.14}, 3: {'gain_db': -4.24}, 5: {'wet_level': 0.46}}","{0: {'rate_hz': 8.97}, 2: {'drive_db': 17.48}, 1: {'delay_seconds': 4.61}, 3: {'gain_db': -7.15}}",0.3595573567684322,4.455050822824704,0.6000000000000001
137.mp3,"{1: {'delay_seconds': 4.71}, 4: {'depth': 0.36}, 3: {'gain_db': -1.39}, 2: {'drive_db': 8.54}}","{1: {'delay_seconds': 4.71}, 4: {'depth': 0.34}, 2: {'drive_db': 6.19}, 3: {'gain_db': 9.64}}",0.6858030642904971,4.200355763422165,1.0
138.mp3,{3: {'gain_db': 5.09}},{2: {'drive_db': 14.55}},0.0,0.3171629347019143,0.0
139.mp3,{4: {'depth': 0.38}},"{4: {'depth': 0.38}, 2: {'drive_db': 18.4}}",0.5,3.265436239619734,0.5
140.mp3,"{5: {'wet_level': 0.45}, 3: {'gain_db': -4.06}, 4: {'depth': 0.25}, 2: {'drive_db': 4.56}, 0: {'rate_hz': 18.91}}","{5: {'wet_level': 0.54}, 0: {'rate_hz': 18.47}, 4: {'depth': 0.3}}",0.49451511525883385,13.831115148607855,0.6000000000000001
141.mp3,"{3: {'gain_db': 5.21}, 5: {'wet_level': 0.3}, 2: {'drive_db': 4.91}, 4: {'depth': 0.44}, 1: {'delay_seconds': 4.04}}","{5: {'wet_level': 0.3}, 4: {'depth': 0.47}, 1: {'delay_seconds': 4.0}, 3: {'gain_db': 6.39}}",0.7568523132288314,12.096098352222128,0.8
142.mp3,"{3: {'gain_db': -4.81}, 2: {'drive_db': 1.29}, 5: {'wet_level': 0.44}}","{3: {'gain_db': -4.39}, 5: {'wet_level': 0.39}}",0.5877691499737414,0.3409669324368676,0.6666666666666666
143.mp3,"{3: {'gain_db': -4.7}, 4: {'depth': 0.26}, 2: {'drive_db': 17.52}, 5: {'wet_level': 0.53}, 1: {'delay_seconds': 4.7}}","{4: {'depth': 0.28}, 5: {'wet_level': 0.49}, 1: {'delay_seconds': 4.73}}",0.5623712482536012,6.474297602015589,0.6000000000000001
144.mp3,"{1: {'delay_seconds': 3.92}, 3: {'gain_db': -7.22}, 5: {'wet_level': 0.28}, 0: {'rate_hz': 13.06}, 2: {'drive_db': 15.16}}","{5: {'wet_level': 0.31}, 0: {'rate_hz': 12.0}, 1: {'delay_seconds': 3.96}, 2: {'drive_db': 12.52}}",0.723643365576729,2.0410592061456296,0.8
145.mp3,"{5: {'wet_level': 0.49}, 3: {'gain_db': 4.34}, 2: {'drive_db': 19.85}, 0: {'rate_hz': 6.41}}","{5: {'wet_level': 0.4}, 3: {'gain_db': 9.42}, 2: {'drive_db': 19.77}, 4: {'depth': 0.35}, 0: {'rate_hz': 8.12}, 1: {'delay_seconds': 1.63}}",0.5342215817647723,6.468998437346296,0.6666666666666666
146.mp3,"{5: {'wet_level': 0.38}, 0: {'rate_hz': 6.69}}","{5: {'wet_level': 0.38}, 3: {'gain_db': 9.71}, 0: {'rate_hz': 8.45}}",0.6225895316804408,5.986860765034496,0.6666666666666666
147.mp3,"{3: {'gain_db': -0.38}, 2: {'drive_db': 18.0}, 4: {'depth': 0.33}}","{4: {'depth': 0.31}, 2: {'drive_db': 14.63}}",0.5758968772694262,1.3890607083311437,0.6666666666666666
148.mp3,"{1: {'delay_seconds': 2.72}, 2: {'drive_db': 17.3}, 5: {'wet_level': 0.35}}","{1: {'delay_seconds': 2.68}, 5: {'wet_level': 0.33}, 4: {'depth': 0.5}}",0.6341520467836257,0.7719189244305621,0.6666666666666666
149.mp3,"{1: {'delay_seconds': 3.86}, 5: {'wet_level': 0.52}}","{4: {'depth': 0.5}, 5: {'wet_level': 0.48}, 3: {'gain_db': 0.86}, 0: {'rate_hz': 16.14}, 2: {'drive_db': 17.38}, 1: {'delay_seconds': 2.08}}",0.20877039627039626,0.8279340234151865,0.3333333333333333
150.mp3,{3: {'gain_db': -8.81}},{2: {'drive_db': 8.47}},0.0,0.636774074861667,0.0
151.mp3,{4: {'depth': 0.43}},"{4: {'depth': 0.47}, 2: {'drive_db': 8.56}}",0.4130434782608696,5.101948431136014,0.5
